prid,date_iso,date,call_money_vol_cr,call_money_wacr_pct,treps_vol_cr,treps_wacr_pct,market_repo_vol_cr,market_repo_wacr_pct,net_laf_cr,net_laf_day_cr,net_laf_total_cr
55149,2023-02-01,"February 01, 2023","12,823.56",6.26,"3,85,015.05",6.14,"1,53,939.70",6.30,"-18,506.87","-82,035.00","-18,506.87"
55151,2023-02-02,"February 02, 2023","15,861.62",6.10,"3,66,640.75",6.00,"1,63,203.28",6.11,"-54,210.87","-1,15,194.00","-54,210.87"
55168,2023-02-03,"February 03, 2023",435.55,5.78,"1,574.50",5.84,0.00,-,"-39,665.87","-100,377.00","-39,665.87"
55169,2023-02-04,"February 04, 2023",310.85,5.70,"7,994.20",6.10,72.00,5.96,"-59,759.87","-20,094.00","-59,759.87"
55170,2023-02-05,"February 05, 2023",0.00,-,0.00,-,0.00,-,"-65,513.87","-5,754.00","-65,513.87"
55173,2023-02-06,"February 06, 2023","14,562.25",6.08,"383,494.80",6.02,"173,729.71",6.07,"-41,896.87","-102,608.00","-41,896.87"
55176,2023-02-07,"February 07, 2023","14,717.20",6.11,"375,956.65",6.04,"167,240.15",6.14,"-29,270.87","-89,982.00","-29,270.87"
55186,2023-02-08,"February 08, 2023","11,642.08",6.39,"373,191.30",6.40,"173,939.76",6.42,"11,172.13","-49,539.00","11,172.13"
55194,2023-02-09,"February 09, 2023","14,919.51",6.71,"379,697.60",6.71,"165,776.26",6.67,"10,830.40","-50,337.00","10,830.40"
55209,2023-02-10,"February 10, 2023","10,943.00",6.61,"381,269.95",6.54,"165,912.83",6.56,"18,035.40","-78,491.00","18,035.40"
55210,2023-02-12,"February 12, 2023",0.00,-,0.00,-,0.00,-,"11,182.40","-3,344.00","11,182.40"
55215,2023-02-13,"February 13, 2023","12,234.74",6.49,"370,946.65",6.34,"164,260.67",6.47,"54,515.13","-91,702.00","54,515.13"
55219,2023-02-14,"February 14, 2023","14,820.26",6.38,"390,371.15",6.28,"153,052.48",6.35,"57,877.13","-88,340.00","57,877.13"
55226,2023-02-15,"February 15, 2023","13,901.63",6.32,"380,827.95",6.25,"152,101.84",6.31,"24,082.13","-122,135.00","24,082.13"
55229,2023-02-16,"February 16, 2023","13,999.99",6.32,"381,811.10",6.24,"150,157.56",6.29,"12,299.13","-133,419.00","12,299.13"
55244,2023-02-17,"February 17, 2023","14,906.16",6.33,"360,769.75",6.34,"167,170.36",6.32,"20,418.13","-125,300.00","20,418.13"
55245,2023-02-19,"February 19, 2023",0.00,-,0.00,-,0.00,-,"2,094.13","-2,649.00","2,094.13"
55259,2023-02-20,"February 20, 2023","15,945.40",6.61,"376,654.60",6.54,"155,787.10",6.59,"41,009.83","-105,208.00","41,009.83"
55264,2023-02-21,"February 21, 2023","12,697.64",6.58,"370,091.60",6.51,"164,040.07",6.52,"71,659.08","-75,070.00","71,659.08"
55269,2023-02-22,"February 22, 2023","14,624.06",6.64,"378,880.05",6.54,"142,887.30",6.60,"48,802.08","-97,927.00","48,802.08"
55272,2023-02-23,"February 23, 2023","15,180.54",6.55,"390,598.90",6.35,"148,577.48",6.46,"29,480.38","-116,749.00","29,480.38"
55289,2023-02-24,"February 24, 2023","16,341.41",6.72,"384,404.65",6.68,"160,279.88",6.63,"14,506.47","-82,200.00","14,506.47"
55290,2023-02-26,"February 26, 2023",0.00,-,0.00,-,0.00,-,"5,200.47","-2,832.00","5,200.47"
55296,2023-02-27,"February 27, 2023","16,300.98",6.67,"376,743.10",6.64,"160,540.21",6.65,"27,668.47","-63,786.00","27,668.47"
55305,2023-02-28,"February 28, 2023","14,843.98",6.65,"368,152.95",6.60,"152,597.43",6.63,"-18,256.53","-109,711.00","-18,256.53"
55313,2023-03-01,"March 01, 2023","15,877.64",6.36,"332,300.05",6.27,"154,974.13",6.34,"-67,145.62","-153,450.00","-67,145.62"
55320,2023-03-02,"March 02, 2023","13,998.53",6.34,"330,032.55",6.24,"144,199.08",6.28,"-82,019.87","-167,616.00","-82,019.87"
55330,2023-03-03,"March 03, 2023",587.40,5.91,"1,874.50",6.02,0.00,-,"-61,300.87","-146,897.00","-61,300.87"
55331,2023-03-04,"March 04, 2023",547.50,5.72,"6,718.10",6.23,291.00,5.77,"-1,05,376.87","-44,076.00","-1,05,376.87"
55332,2023-03-05,"March 05, 2023",0.00,-,0.00,-,0.00,-,"-1,13,874.87","-8,498.00","-1,13,874.87"
55338,2023-03-06,"March 06, 2023","9,166.16",6.32,"3,42,813.40",6.26,"1,51,283.00",6.30,"-49,519.87","-1,39,266.00","-49,519.87"
55339,2023-03-07,"March 07, 2023",0.00,-,0.00,-,0.00,-,"-69,975.87","-20,456.00","-69,975.87"
55343,2023-03-08,"March 08, 2023","11,472.10",6.35,"342,844.25",6.31,"162,522.48",6.33,"-25,742.87","-115,005.00","-25,742.87"
55349,2023-03-09,"March 09, 2023","13,528.25",6.35,"332,695.90",6.31,"162,795.21",6.37,"-51,360.87","-140,788.00","-51,360.87"
55363,2023-03-10,"March 10, 2023","13,969.88",6.31,"314,961.90",6.24,"154,011.14",6.30,"-4,519.87","-106,699.00","-4,519.87"
55364,2023-03-12,"March 12, 2023",0.00,-,0.00,-,0.00,-,"-12,433.87","-3,553.00","-12,433.87"
55365,2023-03-13,"March 13, 2023","14,566.60",6.34,"333,714.85",6.23,"159,196.55",6.30,"-4,183.87","-189,013.00","-4,183.87"
55368,2023-03-14,"March 14, 2023","14,088.59",6.32,"320,450.90",6.18,"159,557.43",6.27,"-35,576.87","-220,406.00","-35,576.87"
55373,2023-03-15,"March 15, 2023","15,709.98",6.34,"317,303.80",6.29,"162,362.70",6.38,"49,796.13","-135,278.00","49,796.13"
55375,2023-03-16,"March 16, 2023","13,418.32",6.52,"350,106.30",6.61,"180,541.19",6.61,"110,772.12","-74,719.00","110,772.12"
55381,2023-03-17,"March 17, 2023",338.80,5.93,"2,764.75",6.18,0.00,-,"123,881.47","-62,830.00","123,881.47"
55382,2023-03-18,"March 18, 2023",232.75,5.74,"5,838.40",6.41,265.67,6.07,"1,00,484.47","-23,397.00","1,00,484.47"
55383,2023-03-19,"March 19, 2023",0.00,-,0.00,-,0.00,-,"94,082.47","-6,402.00","94,082.47"
55391,2023-03-20,"March 20, 2023","14,050.81",6.68,"339,430.80",6.67,"177,523.53",6.73,"79,077.68","-107,641.00","79,077.68"
55397,2023-03-21,"March 21, 2023","13,764.28",6.65,"332,881.40",6.65,"163,678.82",6.69,"113,001.68","-73,717.00","113,001.68"
55398,2023-03-22,"March 22, 2023",0.00,-,0.00,-,0.00,-,"76,513.68","-36,488.00","76,513.68"
55406,2023-03-23,"March 23, 2023","14,724.08",6.61,"316,228.25",6.50,"170,157.60",6.66,"44,916.26","-141,788.00","44,916.26"
55416,2023-03-24,"March 24, 2023","16,510.89",6.54,"291,673.45",6.54,"187,017.74",6.56,"77,893.82","-13,679.00","77,893.82"
55417,2023-03-26,"March 26, 2023",0.00,-,0.00,-,0.00,-,"65,816.82","-3,034.00","65,816.82"
55425,2023-03-27,"March 27, 2023","14,962.62",6.63,"314,323.90",6.70,"182,075.13",6.71,"45,575.37","-102,338.00","45,575.37"
55429,2023-03-28,"March 28, 2023","13,893.00",6.67,"342,985.00",6.65,"180,965.46",6.78,"-13,582.63","-161,986.00","-13,582.63"
55437,2023-03-29,"March 29, 2023","11,801.43",6.72,"337,165.30",6.77,"182,154.33",6.92,"-37,541.63","-131,248.00","-37,541.63"
55438,2023-03-30,"March 30, 2023",0.00,-,0.00,-,0.00,-,"-1,06,659.63","-69,118.00","-1,06,659.63"
55451,2023-03-31,"March 31, 2023","5,979.84",7.37,"3,17,234.05",6.92,"1,91,436.77",7.41,"-1,04,121.40","-2,01,728.00","-1,04,121.40"
55453,2023-04-02,"April 02, 2023",0.00,-,0.00,-,0.00,-,"-1,52,299.40","-37,600.00","-1,52,299.40"
55460,2023-04-03,"April 03, 2023","14,137.61",6.31,"302,197.15",6.26,"201,143.30",6.29,"-210,461.10","-287,589.00","-210,461.10"
55463,2023-04-04,"April 04, 2023",0.00,-,0.00,-,0.00,-,"-2,47,704.10","-37,243.00","-2,47,704.10"
55470,2023-04-05,"April 05, 2023","14,181.39",6.26,"289,016.50",6.23,"196,874.31",6.15,"-271,963.18","-347,648.00","-271,963.18"
55490,2023-04-06,"April 06, 2023","13,832.75",6.40,"330,316.95",6.39,"208,679.08",6.43,"-194,749.25","-269,216.00","-194,749.25"
55491,2023-04-09,"April 09, 2023",0.00,-,0.00,-,0.00,-,"-235,594.25","-3,524.00","-235,594.25"
55496,2023-04-10,"April 10, 2023","12,859.46",6.32,"314,922.85",6.29,"199,458.48",6.32,"-184,491.25","-116,361.00","-184,491.25"
55501,2023-04-11,"April 11, 2023","12,770.41",6.31,"3,15,191.65",6.28,"1,93,115.33",6.37,"-1,91,401.25","-1,22,999.00","-1,91,401.25"
55507,2023-04-12,"April 12, 2023","11,480.12",6.31,"290,867.90",6.27,"194,436.56",6.37,"-199,079.25","-130,677.00","-199,079.25"
55518,2023-04-13,"April 13, 2023",842.25,6.16,"2,314.05",6.23,0.00,-,"-170,304.25","-82,156.00","-170,304.25"
55519,2023-04-15,"April 15, 2023","1,230.10",6.15,"16,073.50",6.24,42.80,5.71,"-2,15,340.25","-37,808.00","-2,15,340.25"
55520,2023-04-16,"April 16, 2023",0.00,-,0.00,-,0.00,-,"-2,20,723.25","-5,383.00","-2,20,723.25"
55524,2023-04-17,"April 17, 2023","12,526.07",6.43,"3,09,434.50",6.51,"2,03,095.63",6.49,"-1,82,384.25","-94,236.00","-1,82,384.25"
55531,2023-04-18,"April 18, 2023","10,404.09",6.57,"329,236.55",6.59,"193,903.14",6.62,"-189,474.76","-101,984.00","-189,474.76"
55535,2023-04-19,"April 19, 2023","12,261.01",6.51,"319,672.65",6.42,"185,523.91",6.49,"-173,333.69","-87,844.00","-173,333.69"
55544,2023-04-20,"April 20, 2023","11,391.85",6.55,"311,905.35",6.55,"198,400.73",6.50,"-135,496.69","-50,007.00","-135,496.69"
55562,2023-04-21,"April 21, 2023","10,354.30",6.64,"320,898.50",6.71,"190,903.54",6.61,"-53,372.33","-85,091.00","-53,372.33"
55563,2023-04-23,"April 23, 2023",0.00,-,0.00,-,0.00,-,"-61,584.33","-4,043.00","-61,584.33"
55571,2023-04-24,"April 24, 2023","10,677.43",6.65,"308,961.40",6.72,"190,050.35",6.69,"-45,923.33","-57,162.00","-45,923.33"
55574,2023-04-25,"April 25, 2023","9,968.34",6.70,"310,956.60",6.76,"191,096.76",6.70,"-60,537.24","-70,727.00","-60,537.24"
55579,2023-04-26,"April 26, 2023","9,081.10",6.69,"334,056.30",6.75,"179,086.73",6.69,"-43,107.62","-53,501.00","-43,107.62"
55583,2023-04-27,"April 27, 2023","10,393.17",6.72,"294,763.45",6.76,"192,926.82",6.70,"-42,452.62","-53,946.00","-42,452.62"
55604,2023-04-28,"April 28, 2023",752.80,6.36,"17,438.90",6.71,0.00,-,"-41,953.62","-53,447.00","-41,953.62"
55605,2023-04-29,"April 29, 2023",425.00,6.20,"15,469.70",6.76,247.56,6.39,"-60,110.62","-18,157.00","-60,110.62"
55606,2023-05-01,"May 01, 2023",0.00,-,0.00,-,0.00,-,"-81,272.62","-20,876.00","-81,272.62"
55618,2023-05-02,"May 02, 2023","12,605.68",6.59,"313,244.20",6.62,"197,511.00",6.56,"-56,001.77","-67,637.00","-56,001.77"
55626,2023-05-03,"May 03, 2023","11,466.01",6.67,"313,425.95",6.72,"182,816.32",6.66,"-70,105.77","-81,741.00","-70,105.77"
55639,2023-05-04,"May 04, 2023","2,200.50",6.69,"4,283.90",6.45,48.00,6.00,"-51,430.77","-83,546.00","-51,430.77"
55640,2023-05-06,"May 06, 2023",923.80,6.63,"9,226.20",6.82,185.89,6.39,"-73,007.77","-1,460.00","-73,007.77"
55641,2023-05-07,"May 07, 2023",0.00,-,0.00,-,0.00,-,"-78,290.77","-5,283.00","-78,290.77"
55648,2023-05-08,"May 08, 2023","11,190.56",6.75,"291,080.80",6.76,"197,315.02",6.76,"-22,893.77","-43,412.00","-22,893.77"
55653,2023-05-09,"May 09, 2023","9,742.94",6.80,"290,343.85",6.77,"181,645.53",6.82,"-34,551.77","-49,820.00","-34,551.77"
55659,2023-05-10,"May 10, 2023","8,617.74",6.78,"280,490.65",6.76,"188,374.85",6.82,"-55,113.77","-62,882.00","-55,113.77"
55663,2023-05-11,"May 11, 2023","11,565.30",6.75,"278,727.70",6.76,"189,519.64",6.80,"-53,899.77","-61,668.00","-53,899.77"
55678,2023-05-12,"May 12, 2023","14,360.88",6.77,"278,976.20",6.76,"190,881.95",6.79,"-46,729.77","-54,498.00","-46,729.77"
55679,2023-05-14,"May 14, 2023",0.00,-,0.00,-,0.00,-,"-55,638.77","-4,004.00","-55,638.77"
55685,2023-05-15,"May 15, 2023","13,796.93",6.77,"271,262.45",6.76,"196,170.65",6.81,"-46,216.77","-53,985.00","-46,216.77"
55689,2023-05-16,"May 16, 2023","12,572.64",6.76,"284,319.80",6.73,"192,822.37",6.80,"-55,505.77","-63,274.00","-55,505.77"
55694,2023-05-17,"May 17, 2023","10,140.79",6.50,"298,654.50",6.45,"192,228.73",6.59,"-81,865.77","-89,634.00","-81,865.77"
55697,2023-05-18,"May 18, 2023","11,642.06",6.44,"282,318.70",6.32,"187,431.03",6.47,"-87,580.91","-95,356.00","-87,580.91"
55709,2023-05-19,"May 19, 2023","1,634.75",6.21,"4,822.00",6.20,0.00,-,"-49,499.40","-65,399.00","-49,499.40"
55710,2023-05-20,"May 20, 2023","1,661.30",6.23,"18,525.45",6.27,32.34,6.00,"-89,883.40","-40,384.00","-89,883.40"
55711,2023-05-21,"May 21, 2023",0.00,-,0.00,-,0.00,-,"-93,461.40","-3,578.00","-93,461.40"
55720,2023-05-22,"May 22, 2023","11,126.44",6.37,"291,625.95",6.33,"171,696.50",6.40,"-47,484.00","-110,177.00","-47,484.00"
55724,2023-05-23,"May 23, 2023","11,055.97",6.37,"296,214.20",6.31,"175,183.72",6.39,"-44,255.00","-106,388.00","-44,255.00"
55730,2023-05-24,"May 24, 2023","10,270.65",6.36,"3,02,998.10",6.30,"1,65,016.72",6.39,"-49,635.45","-1,11,109.00","-49,635.45"
55734,2023-05-25,"May 25, 2023","10,994.00",6.36,"293,501.90",6.28,"172,754.94",6.35,"-80,614.45","-142,088.00","-80,614.45"
55746,2023-05-26,"May 26, 2023","10,250.74",6.35,"296,214.80",6.26,"170,144.13",6.31,"-99,725.45","-160,976.00","-99,725.45"
55747,2023-05-28,"May 28, 2023",0.00,-,0.00,-,0.00,-,"-1,12,272.45","-5,067.00","-1,12,272.45"
55751,2023-05-29,"May 29, 2023","10,037.57",6.34,"307,956.80",6.26,"168,879.77",6.30,"-104,330.45","-165,581.00","-104,330.45"
55757,2023-05-30,"May 30, 2023","10,232.26",6.34,"310,873.70",6.26,"168,117.20",6.28,"-135,498.95","-196,077.00","-135,498.95"
55765,2023-05-31,"May 31, 2023","9,876.06",6.33,"279,258.55",6.24,"182,825.53",6.26,"-175,870.95","-236,449.00","-175,870.95"
55772,2023-06-01,"June 01, 2023","10,635.51",6.32,"300,811.65",6.21,"172,855.69",6.25,"-240,125.95","-300,704.00","-240,125.95"
55784,2023-06-02,"June 02, 2023",660.05,6.10,"1,394.00",5.91,55.00,5.90,"-237,853.95","-251,642.00","-237,853.95"
55786,2023-06-03,"June 03, 2023","1,438.55",6.28,"10,573.60",6.62,130.38,6.01,"-255,162.95","-17,309.00","-255,162.95"
55787,2023-06-04,"June 04, 2023",0.00,-,0.00,-,0.00,-,"-258,645.95","-3,483.00","-258,645.95"
55797,2023-06-05,"June 05, 2023","9,594.39",6.32,"303,906.80",6.25,"179,390.05",6.27,"-225,940.95","-188,861.00","-225,940.95"
55806,2023-06-06,"June 06, 2023","8,968.08",6.34,"291,110.50",6.30,"186,709.65",6.31,"-210,587.95","-106,868.00","-210,587.95"
55813,2023-06-07,"June 07, 2023","10,565.15",6.43,"277,122.35",6.42,"183,875.01",6.44,"-215,858.95","-79,764.00","-215,858.95"
55825,2023-06-08,"June 08, 2023","10,335.63",6.59,"268,398.35",6.60,"175,605.44",6.60,"-200,733.95","-62,789.00","-200,733.95"
55836,2023-06-09,"June 09, 2023","9,894.87",6.61,"299,796.10",6.44,"178,271.74",6.54,"-168,535.39","-132,059.00","-168,535.39"
55837,2023-06-11,"June 11, 2023",0.00,-,0.00,-,0.00,-,"-181,954.39","-2,929.00","-181,954.39"
55845,2023-06-12,"June 12, 2023","10,280.09",6.48,"312,106.70",6.36,"172,330.49",6.38,"-160,993.39","-119,045.00","-160,993.39"
55851,2023-06-13,"June 13, 2023","9,708.91",6.40,"313,201.85",6.34,"170,856.07",6.23,"-160,486.62","-124,321.00","-160,486.62"
55860,2023-06-14,"June 14, 2023","9,799.50",6.54,"312,039.70",6.45,"172,740.46",6.44,"-146,893.60","-81,674.00","-146,893.60"
55866,2023-06-15,"June 15, 2023","9,111.02",6.57,"319,578.65",6.48,"162,056.97",6.49,"-158,507.46","-122,586.00","-158,507.46"
55879,2023-06-16,"June 16, 2023",534.20,6.08,"4,805.50",6.30,52.00,6.00,"-85,479.21","-100,421.00","-85,479.21"
55881,2023-06-17,"June 17, 2023",763.70,6.18,"10,493.00",6.57,34.00,5.50,"-100,087.21","-14,608.00","-100,087.21"
55882,2023-06-18,"June 18, 2023",0.00,-,0.00,-,0.00,-,"-103,613.21","-3,526.00","-103,613.21"
55889,2023-06-19,"June 19, 2023","9,937.91",6.64,"357,986.95",6.60,"177,738.57",6.60,"-18,657.21","-17,268.00","-18,657.21"
55892,2023-06-20,"June 20, 2023","10,074.05",6.55,"332,925.15",6.37,"177,023.67",6.46,"-34,843.21","-108,458.00","-34,843.21"
55897,2023-06-21,"June 21, 2023","8,715.38",6.47,"322,004.25",6.32,"174,453.44",6.44,"-29,083.21","-102,698.00","-29,083.21"
55900,2023-06-22,"June 22, 2023","10,272.32",6.40,"330,700.45",6.28,"164,338.30",6.33,"-37,786.21","-111,401.00","-37,786.21"
55912,2023-06-23,"June 23, 2023","9,877.49",6.56,"339,185.25",6.64,"172,989.56",6.50,"-48,799.16","-47,737.00","-48,799.16"
55913,2023-06-25,"June 25, 2023",0.00,-,0.00,-,0.00,-,"-55,345.16","-2,664.00","-55,345.16"
55930,2023-06-26,"June 26, 2023","10,903.70",6.73,"349,949.55",6.74,"172,152.07",6.65,"-41,972.81","-41,061.00","-41,972.81"
55938,2023-06-27,"June 27, 2023","14,931.68",6.82,"329,198.55",6.76,"152,106.34",6.62,"-31,676.81","-30,765.00","-31,676.81"
55946,2023-06-28,"June 28, 2023","9,927.06",6.82,"292,480.50",6.76,"169,000.96",6.65,"-27,832.81","-26,921.00","-27,832.81"
55949,2023-06-29,"June 29, 2023",0.00,-,0.00,-,0.00,-,"-35,151.81","-7,319.00","-35,151.81"
55968,2023-06-30,"June 30, 2023",808.90,6.55,"7,060.80",6.45,523.82,6.31,"-1,25,874.81","-1,41,294.00","-1,25,874.81"
55970,2023-07-01,"July 01, 2023",331.95,5.94,"22,597.45",6.31,197.63,5.87,"-156,381.81","-30,507.00","-156,381.81"
55971,2023-07-02,"July 02, 2023",0.00,-,0.00,-,0.00,-,"-168,154.81","-11,773.00","-168,154.81"
55978,2023-07-03,"July 03, 2023","11,258.81",6.39,"310,400.25",6.27,"159,388.39",6.28,"-221,721.81","-225,352.00","-221,721.81"
55985,2023-07-04,"July 04, 2023","11,923.46",6.38,"305,198.40",6.30,"151,639.44",6.26,"-230,375.21","-169,685.00","-230,375.21"
55997,2023-07-05,"July 05, 2023","11,290.15",6.41,"303,132.85",6.35,"142,789.47",6.26,"-235,291.66","-170,550.00","-235,291.66"
56005,2023-07-06,"July 06, 2023","12,398.95",6.44,"314,940.45",6.39,"157,886.44",6.38,"-244,602.91","-159,891.00","-244,602.91"
56022,2023-07-07,"July 07, 2023","11,825.28",6.59,"289,926.60",6.37,"160,138.17",6.40,"-180,259.40","-182,750.00","-180,259.40"
56023,2023-07-09,"July 09, 2023",0.00,-,0.00,-,0.00,-,"-195,015.40","-2,998.00","-195,015.40"
56026,2023-07-10,"July 10, 2023","14,136.45",6.56,"296,736.80",6.49,"160,075.20",6.34,"-158,311.40","-54,578.00","-158,311.40"
56033,2023-07-11,"July 11, 2023","12,371.41",6.56,"309,622.25",6.39,"162,199.96",6.37,"-137,746.40","-140,237.00","-137,746.40"
56039,2023-07-12,"July 12, 2023","10,528.46",6.45,"303,726.30",6.29,"159,753.36",6.34,"-181,488.40","-143,688.00","-181,488.40"
56045,2023-07-13,"July 13, 2023","10,735.86",6.41,"304,924.70",6.26,"156,840.63",6.30,"-207,290.40","-169,490.00","-207,290.40"
56055,2023-07-14,"July 14, 2023",375.12,5.99,"2,804.40",6.10,"2,482.84",6.08,"-178,926.40","-193,206.00","-178,926.40"
56056,2023-07-15,"July 15, 2023",345.55,6.10,"11,246.95",6.71,480.62,1.97,"-192,140.40","-13,214.00","-192,140.40"
56057,2023-07-16,"July 16, 2023",0.00,-,0.00,-,0.00,-,"-194,792.40","-2,652.00","-194,792.40"
56062,2023-07-17,"July 17, 2023","12,357.02",6.45,"300,566.15",6.33,"167,240.38",6.38,"-135,419.40","-89,824.00","-135,419.40"
56068,2023-07-18,"July 18, 2023","13,577.49",6.46,"308,138.65",6.30,"166,772.41",6.37,"-125,368.84","-79,532.00","-125,368.84"
56073,2023-07-19,"July 19, 2023","13,694.54",6.42,"3,01,241.30",6.31,"1,56,965.12",6.36,"-1,10,823.84","-64,987.00","-1,10,823.84"
56076,2023-07-20,"July 20, 2023","13,914.36",6.52,"299,182.50",6.45,"164,107.81",6.48,"-114,894.84","-69,058.00","-114,894.84"
56089,2023-07-21,"July 21, 2023","12,069.54",6.61,"293,815.60",6.51,"155,292.12",6.57,"-105,119.77","-59,950.00","-105,119.77"
56090,2023-07-23,"July 23, 2023",0.00,-,0.00,-,0.00,-,"-121,151.77","-8,737.00","-121,151.77"
56093,2023-07-24,"July 24, 2023","11,832.42",6.60,"294,763.90",6.55,"167,491.12",6.55,"-107,811.87","-62,972.00","-107,811.87"
56096,2023-07-25,"July 25, 2023","10,576.27",6.59,"309,174.20",6.47,"165,044.72",6.55,"-137,527.08","-92,837.00","-137,527.08"
56101,2023-07-26,"July 26, 2023","11,887.46",6.44,"311,424.50",6.32,"156,544.91",6.40,"-134,589.77","-89,420.00","-134,589.77"
56108,2023-07-27,"July 27, 2023","10,082.53",6.37,"311,723.00",6.27,"154,126.13",6.31,"-152,515.77","-107,346.00","-152,515.77"
56124,2023-07-28,"July 28, 2023","9,239.73",6.48,"309,929.95",6.54,"168,517.89",6.45,"-138,294.47","-153,476.00","-138,294.47"
56125,2023-07-30,"July 30, 2023",0.00,-,0.00,-,0.00,-,"-148,873.47","-2,774.00","-148,873.47"
56130,2023-07-31,"July 31, 2023","9,354.16",6.52,"297,979.10",6.37,"149,002.07",6.45,"-143,166.77","-64,111.00","-143,166.77"
56135,2023-08-01,"August 01, 2023","9,334.66",6.39,"283,672.30",6.27,"150,183.85",6.35,"-220,906.77","-141,851.00","-220,906.77"
56140,2023-08-02,"August 02, 2023","8,568.67",6.34,"288,740.45",6.25,"140,933.17",6.30,"-250,464.49","-170,811.00","-250,464.49"
56142,2023-08-03,"August 03, 2023","9,022.79",6.35,"292,780.55",6.24,"144,804.77",6.28,"-277,278.49","-197,375.00","-277,278.49"
56152,2023-08-04,"August 04, 2023",341.90,5.90,"1,833.30",6.03,"1,561.49",5.92,"-263,188.49","-182,977.00","-263,188.49"
56153,2023-08-05,"August 05, 2023",716.70,6.30,"7,068.15",6.57,300.56,6.02,"-277,688.49","-14,500.00","-277,688.49"
56154,2023-08-06,"August 06, 2023",0.00,-,0.00,-,0.00,-,"-281,019.49","-3,331.00","-281,019.49"
56160,2023-08-07,"August 07, 2023","9,445.27",6.36,"276,556.00",6.24,"148,566.50",6.28,"-225,199.49","-144,988.00","-225,199.49"
56163,2023-08-08,"August 08, 2023","10,044.49",6.36,"295,439.25",6.28,"150,146.31",6.30,"-192,113.49","-111,902.00","-192,113.49"
56172,2023-08-09,"August 09, 2023","8,883.79",6.39,"286,307.10",6.30,"145,969.78",6.33,"-211,106.49","-130,895.00","-211,106.49"
56187,2023-08-10,"August 10, 2023","9,441.00",6.45,"289,953.50",6.34,"153,742.61",6.40,"-264,184.78","-184,383.00","-264,184.78"
56197,2023-08-11,"August 11, 2023","8,909.69",6.60,"338,180.30",6.40,"156,783.74",6.53,"-184,520.78","-198,730.00","-184,520.78"
56198,2023-08-13,"August 13, 2023",0.00,-,0.00,-,0.00,-,"-121,317.78","-3,152.00","-121,317.78"
56208,2023-08-14,"August 14, 2023","10,227.52",6.64,"326,612.60",6.67,"154,129.47",6.59,"-20,822.26","-1,650.00","-20,822.26"
56210,2023-08-16,"August 16, 2023",0.00,-,0.00,-,0.00,-,"-60,329.26","-36,429.00","-60,329.26"
56222,2023-08-17,"August 17, 2023","10,047.41",6.76,"396,047.35",6.69,"149,007.93",6.70,"-100,355.75","-81,396.00","-100,355.75"
56229,2023-08-18,"August 18, 2023",306.90,5.94,"4,520.00",6.24,79.24,6.04,"-38,375.57","-19,459.00","-38,375.57"
56230,2023-08-19,"August 19, 2023",735.00,6.25,"8,917.20",6.67,64.98,6.17,"-49,979.57","-11,604.00","-49,979.57"
56231,2023-08-20,"August 20, 2023",0.00,-,0.00,-,0.00,-,"-53,808.57","-3,829.00","-53,808.57"
56238,2023-08-21,"August 21, 2023","11,724.19",6.77,"356,083.40",6.75,"143,915.76",6.74,"23,644.43","42,561.00","23,644.43"
56243,2023-08-22,"August 22, 2023","9,597.99",6.76,"359,880.25",6.76,"145,713.93",6.77,"15,552.43","34,469.00","15,552.43"
56249,2023-08-23,"August 23, 2023","10,381.92",6.77,"374,299.70",6.75,"135,478.92",6.76,"23,111.43","42,028.00","23,111.43"
56259,2023-08-24,"August 24, 2023","11,979.00",6.77,"370,711.95",6.75,"142,578.28",6.77,"-25,833.57","-6,917.00","-25,833.57"
56269,2023-08-25,"August 25, 2023","9,020.40",6.74,"365,749.05",6.75,"159,956.24",6.77,"-11,496.57","-26,719.00","-11,496.57"
56270,2023-08-27,"August 27, 2023",0.00,-,0.00,-,0.00,-,"-17,203.57","-2,455.00","-17,203.57"
56273,2023-08-28,"August 28, 2023","8,243.66",6.74,"359,185.85",6.75,"151,485.18",6.76,"-26,015.57","-19,464.00","-26,015.57"
56281,2023-08-29,"August 29, 2023","7,220.09",6.75,"380,961.75",6.75,"148,209.92",6.77,"-41,283.57","-34,087.00","-41,283.57"
56289,2023-08-30,"August 30, 2023","6,817.73",6.72,"361,838.55",6.69,"153,847.54",6.73,"-54,131.57","-46,935.00","-54,131.57"
56298,2023-08-31,"August 31, 2023","8,199.30",6.58,"369,382.60",6.62,"146,069.96",6.64,"-80,233.57","-73,037.00","-80,233.57"
56311,2023-09-01,"September 01, 2023",469.60,5.94,"3,168.00",6.42,535.25,6.25,"-85,164.57","-77,968.00","-85,164.57"
56312,2023-09-02,"September 02, 2023",419.20,6.00,"13,095.35",6.22,"2,092.83",6.11,"-118,099.57","-32,935.00","-118,099.57"
56313,2023-09-03,"September 03, 2023",0.00,-,0.00,-,0.00,-,"-131,723.57","-13,624.00","-131,723.57"
56316,2023-09-04,"September 04, 2023","11,005.70",6.44,"353,941.50",6.31,"164,320.75",6.40,"-1,58,238.46","-1,50,581.00","-1,58,238.46"
56319,2023-09-05,"September 05, 2023","11,644.72",6.38,"360,212.90",6.25,"144,084.92",6.29,"-154,405.86","-146,083.00","-154,405.86"
56327,2023-09-06,"September 06, 2023","9,652.57",6.33,"352,787.25",6.26,"143,259.52",6.28,"-93,934.86","-85,362.00","-93,934.86"
